,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Pred,Proba,Decile
0,0,128,1,1,2.7,1,265.1,110,89.0,9.87,10.0,0,0.0010427868,2
1,0,107,1,1,3.7,1,161.6,123,82.0,9.78,13.7,0,0.0009027442,2
2,0,137,1,0,0.0,0,243.4,114,52.0,6.06,12.2,0,0.0060859965,5
3,0,84,0,0,0.0,2,299.4,71,57.0,3.1,6.6,0,0.31277913,8
4,0,75,0,0,0.0,3,166.7,113,41.0,7.42,10.1,0,0.019582147,7
5,0,118,0,0,0.0,0,223.4,98,57.0,11.03,6.3,0,0.1536992,8
6,0,121,1,1,2.03,3,218.2,88,87.3,17.43,7.5,0,0.0074047484,6
7,0,147,0,0,0.0,0,157.0,79,36.0,5.16,7.1,0,0.12627694,8
8,0,117,1,0,0.19,1,184.5,97,63.9,17.58,8.7,0,0.03145389,7
9,0,141,0,1,3.02,0,258.6,84,93.2,11.1,11.2,0,0.004878153,5
10,1,65,1,0,0.29,4,129.1,137,44.9,11.43,12.7,1,0.98941934,9
11,0,74,1,0,0.34,0,187.7,127,49.4,8.17,9.1,0,0.0013960319,2
12,0,168,1,0,0.0,1,128.8,96,31.0,5.25,11.2,0,0.0002823292,0
13,0,95,1,0,0.44,3,156.6,88,52.4,12.38,12.3,0,0.0026794423,4
14,0,62,1,0,0.0,4,120.7,70,47.0,15.36,13.1,1,0.8669703,8
15,1,161,1,0,0.0,4,332.9,67,84.0,15.89,5.4,1,0.9849337,9
16,0,85,1,1,3.73,1,196.4,139,95.3,14.05,13.8,0,0.0025586174,4
17,0,93,1,0,0.0,3,190.7,114,51.0,10.91,8.1,0,0.0026791492,4
18,0,76,1,1,2.7,1,189.7,66,78.0,10.64,10.0,0,0.0016148508,3
19,0,73,1,0,0.0,1,224.4,90,52.0,7.98,13.0,0,0.0013537491,2
